Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Somalia,2010,1st,114.3,10.0,10.0,9.7,9.6,8.0,8.3,10.0,9.6,9.9,9.6,10.0,9.6
Chad,2010,2nd,113.3,9.9,9.8,9.8,8.5,9.3,8.3,9.9,9.6,9.6,9.4,9.5,9.7
Sudan,2010,3rd,111.8,9.8,9.9,9.9,6.7,9.5,8.7,9.9,9.3,9.9,8.8,9.8,9.6
Zimbabwe,2010,4th,110.2,9.2,9.5,8.8,9.6,9.4,9.7,9.6,9.4,9.5,9.4,8.6,7.5
Congo Democratic Republic,2010,5th,109.9,9.8,8.9,8.6,8.7,9.5,8.0,8.8,9.0,9.4,9.9,9.6,9.7
Afghanistan,2010,6th,109.3,9.7,9.4,9.7,8.3,8.2,7.2,10.0,8.9,9.2,9.5,9.2,10.0
Iraq,2010,7th,107.3,9.5,9.6,9.3,7.6,8.8,9.3,9.0,8.4,9.1,8.5,8.7,9.5
Central African Republic,2010,8th,106.4,9.7,9.1,8.9,8.4,9.2,6.1,9.0,9.2,8.8,9.1,9.3,9.6
Guinea,2010,9th,105.0,9.4,9.3,8.2,8.9,8.7,8.6,9.8,9.0,9.5,8.3,7.5,7.8
Pakistan,2010,10th,102.5,9.7,9.5,9.4,6.2,8.4,7.9,8.9,7.3,8.9,8.1,8.9,9.3
Haiti,2010,11th,101.6,8.2,8.4,7.3,9.2,8.3,8.6,9.3,9.5,8.3,9.3,5.6,9.6
Cote d'Ivoire,2010,12th,101.2,8.2,8.5,8.9,8.0,7.9,8.2,9.0,8.3,8.3,8.4,8.0,9.5
Kenya,2010,13th,100.7,7.5,8.7,8.9,7.4,8.7,7.9,9.3,8.1,8.0,9.1,8.7,8.4
Nigeria,2010,14th,100.2,9.3,9.4,9.5,6.9,9.3,8.1,9.4,9.1,8.8,8.4,5.8,6.2
Yemen,2010,15th,100.0,8.9,9.2,8.2,7.9,8.6,7.2,8.7,8.6,8.0,8.6,8.3,7.8
