Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Bolivia,2007,59th,82.0,6.2,8.3,7.0,6.4,8.5,7.0,7.2,7.4,7.0,7.4,3.7,5.9
Guatemala,2007,60th,81.4,7.3,5.9,7.1,7.0,8.0,6.7,7.4,6.6,7.1,7.0,6.0,5.3
Swaziland,2007,61st,81.3,7.1,7.1,4.0,7.7,6.0,5.3,8.8,8.1,7.5,8.7,4.0,7.0
Azerbaijan,2007,62nd,81.2,7.2,7.5,7.3,6.3,7.4,5.3,7.8,6.0,6.4,6.0,7.5,6.5
China,2007,62nd,81.2,5.3,7.5,8.0,4.0,9.0,6.5,8.5,6.5,9.0,8.7,5.1,3.1
Lesotho,2007,62nd,81.2,6.2,6.7,5.5,9.1,5.5,5.4,7.5,8.9,6.7,9.0,4.5,6.2
Russia,2007,62nd,81.2,6.8,8.5,7.7,3.9,8.2,6.5,7.6,6.2,8.5,7.5,5.9,3.9
Cape Verde,2007,66th,81.1,6.1,6.4,4.8,8.0,6.2,8.2,7.0,7.4,6.4,7.9,4.8,7.9
Maldives,2007,66th,81.1,6.1,7.2,4.9,7.3,4.9,7.0,7.9,7.1,7.7,8.0,7.0,6.0
Serbia  ,2007,66th,81.1,6.3,8.0,7.7,6.5,7.7,5.5,7.5,5.0,6.1,6.0,8.0,6.8
Dominican Republic,2007,69th,80.6,6.5,7.4,6.1,5.8,8.1,8.3,6.0,6.9,7.0,6.5,6.4,5.6
Zambia,2007,69th,80.6,5.5,5.2,5.2,7.9,7.4,6.7,7.6,7.9,5.8,9.1,6.2,6.1
Djibouti,2007,70th,80.3,7.0,6.9,5.5,6.9,6.1,5.0,7.4,7.5,6.0,7.9,6.5,7.6
Nicaragua,2007,71st,80.0,6.5,7.2,6.4,7.8,8.6,7.1,6.5,7.0,5.4,6.7,5.1,5.7
Ecuador,2007,72nd,79.9,6.6,7.6,6.7,5.3,8.0,7.1,7.5,6.8,6.6,6.2,6.0,5.5
Venezuela,2007,73rd,79.8,6.9,7.5,6.8,4.0,8.2,6.9,7.5,6.3,7.9,6.9,5.2,5.7
Israel and West Bank,2007,74th,79.6,5.3,7.2,9.0,3.7,6.9,3.5,7.3,7.0,7.4,7.0,7.9,7.4
Tanzania,2007,75th,79.3,5.7,5.5,6.2,7.4,6.9,6.0,6.3,7.8,6.0,7.4,7.1,7.0
Cuba,2007,76th,78.6,7.7,7.8,5.5,6.3,7.2,6.0,7.6,3.8,7.8,6.5,4.7,7.7
Sao Tome and Principe,2007,76th,78.6,5.8,5.9,5.1,8.5,6.1,7.4,7.3,8.1,5.3,7.9,4.8,6.4
Comoros,2007,78th,77.8,6.7,6.5,5.3,7.6,6.1,5.7,7.9,8.7,6.6,6.2,3.6,6.9
Vietnam,2007,78th,77.8,7.4,7.0,5.3,6.2,6.2,7.0,7.0,6.5,6.9,6.5,5.9,5.9
Mozambique,2007,80th,76.9,5.9,5.6,4.7,7.5,7.2,8.0,7.4,8.0,7.0,7.5,2.2,5.9
Jordan,2007,81st,76.6,6.4,6.5,6.5,6.6,7.7,5.0,6.2,5.6,6.2,6.2,6.8,6.9
Madagascar,2007,82nd,76.5,6.1,6.7,5.1,7.5,7.0,5.0,5.7,8.7,5.7,8.5,3.0,7.5
Saudi Arabia,2007,82nd,76.5,7.3,7.6,7.7,2.3,6.5,3.6,8.8,4.3,8.8,5.9,7.2,6.5
Peru,2007,84th,76.4,7.7,7.0,6.9,5.6,8.1,7.5,6.6,6.2,5.2,6.6,4.0,5.0
Gambia,2007,85th,76.0,5.8,5.9,4.2,8.0,7.0,6.0,7.9,6.6,6.8,6.4,5.2,6.2
Morocco,2007,85th,76.0,5.2,5.4,6.8,6.6,7.3,6.2,7.8,6.0,6.6,6.6,7.5,4.0
Thailand,2007,85th,76.0,7.2,8.0,7.8,3.0,7.5,4.4,8.0,5.5,6.3,7.0,5.8,5.5
Algeria,2007,88th,75.9,6.4,5.9,7.0,3.5,7.3,5.6,7.3,7.0,7.4,6.1,6.7,5.7
Fiji,2007,89th,75.7,7.0,8.2,7.5,5.9,7.5,5.4,9.0,4.1,5.9,5.9,4.0,5.3
Mali,2007,90th,75.5,4.8,3.7,6.1,8.7,6.6,7.9,4.7,8.6,4.6,8.5,4.4,6.9
El Salvador,2007,91st,74.9,5.8,3.9,6.0,5.4,7.3,7.0,7.0,6.9,6.9,7.6,5.6,5.5
Turkey,2007,91st,74.9,6.7,7.1,7.4,4.7,8.7,5.0,6.1,5.4,5.1,6.9,5.8,6.0
Honduras,2007,93rd,74.8,5.9,6.3,5.3,7.6,8.7,6.0,7.4,6.6,5.8,7.8,2.0,5.4
Macedonia,2007,94th,74.1,6.1,6.4,7.1,5.9,7.4,7.0,7.3,5.1,5.3,5.4,4.7,6.4
Suriname,2007,95th,73.9,6.2,5.1,6.1,6.9,8.3,6.7,6.4,4.9,5.7,7.1,4.2,6.3
Samoa,2007,96th,73.8,6.7,5.4,5.0,6.3,7.2,7.9,6.7,4.7,4.9,6.8,3.8,8.4
Micronesia,2007,97th,73.5,6.0,5.4,5.0,6.5,7.1,8.1,6.9,7.1,2.5,7.7,3.2,8.0
Gabon,2007,98th,73.3,5.3,7.2,3.0,4.9,7.8,6.0,7.3,7.0,6.7,6.6,5.7,5.8
Guyana,2007,98th,73.3,5.9,4.9,5.4,6.8,8.1,7.9,6.4,5.7,5.6,6.9,4.1,5.6
Paraguay,2007,100th,72.9,4.3,7.5,6.2,6.7,7.4,6.0,8.1,6.5,7.9,6.5,1.6,4.2
Mexico,2007,101st,72.6,6.1,4.8,6.1,6.2,8.4,7.0,6.1,5.7,5.1,6.9,4.0,6.2
Kazakhstan,2007,102nd,72.3,6.7,7.7,5.2,6.6,6.2,4.0,7.5,6.1,7.0,5.7,3.0,6.6
Benin,2007,103rd,72.0,5.2,3.8,4.0,7.1,7.4,6.9,6.4,8.1,4.8,6.5,5.2,6.6
Grenada,2007,104th,71.6,5.9,5.7,5.0,6.5,7.1,7.9,6.5,4.1,5.1,5.9,3.6,8.3
Ukraine,2007,105th,71.4,3.0,7.9,7.0,5.0,7.0,7.5,7.5,4.5,5.9,6.5,3.6,6.0
Namibia,2007,106th,71.3,5.5,3.2,5.4,5.9,8.2,7.9,4.4,7.5,5.7,6.5,5.1,6.0
Seychelles,2007,106th,71.3,6.2,6.7,5.5,4.0,6.9,4.7,7.9,4.1,6.7,6.9,5.0,6.7
Brunei Darussalam,2007,108th,71.2,6.9,7.4,7.4,3.2,7.9,4.2,7.7,3.3,6.6,6.3,5.6,4.7
India,2007,109th,70.8,5.0,5.6,7.0,4.6,8.9,7.1,4.8,6.7,5.4,8.3,3.2,4.2
Albania,2007,110th,70.5,5.5,5.4,5.4,6.8,6.1,7.5,7.4,6.2,5.4,6.5,2.7,5.6
Armenia,2007,111th,70.3,4.5,5.8,5.0,5.0,6.0,6.9,6.5,6.2,5.5,5.8,7.6,5.5
Cyprus,2007,112th,70.2,4.2,8.4,8.3,4.8,7.5,5.7,5.5,3.8,3.5,5.1,4.2,9.2
Belize,2007,113th,69.8,5.7,5.0,5.2,6.0,7.6,6.9,6.5,5.7,3.8,6.6,5.2,5.6
Libya,2007,114th,69.3,5.3,8.0,5.6,5.3,7.3,4.0,7.4,4.5,8.1,6.2,2.6,5.0
Trinidad and Tobago,2007,115th,67.6,5.7,5.7,5.2,3.8,8.1,6.4,6.4,5.8,5.4,5.9,3.8,5.4
Brazil,2007,116th,66.9,6.9,4.5,6.1,3.2,8.8,5.0,6.2,6.3,5.3,6.6,3.4,4.6
Senegal,2007,116th,66.9,5.2,3.8,5.2,5.7,6.9,5.1,5.7,6.7,5.6,7.0,4.5,5.5
Botswana,2007,118th,66.4,3.9,2.8,3.4,5.6,7.0,6.0,5.4,6.5,4.8,9.2,5.8,6.0
Malaysia,2007,119th,65.9,6.3,5.3,5.5,4.6,6.6,3.6,5.9,5.4,6.5,6.3,4.1,5.8
Antigua and Barbuda,2007,120th,65.7,5.2,4.6,5.2,4.8,7.1,7.9,6.3,4.9,5.5,5.2,3.6,5.4
Tunisia,2007,121st,65.6,5.9,6.2,5.1,4.3,7.4,5.1,6.4,5.9,7.3,5.6,3.4,3.0
Jamaica,2007,122nd,65.1,5.6,3.7,4.3,5.4,6.7,6.7,7.0,5.8,5.4,6.1,2.4,6.0
Kuwait,2007,123rd,62.1,5.3,7.6,4.5,3.1,6.1,4.1,6.9,3.3,6.5,5.9,4.8,4.0
Ghana,2007,124th,61.9,2.4,3.5,5.1,4.0,6.8,8.0,5.5,6.9,4.5,6.0,4.5,4.7
Romania,2007,125th,60.9,3.4,4.5,5.2,5.7,6.1,5.2,6.1,5.2,4.8,5.5,3.8,5.4
Croatia,2007,126th,60.5,3.9,3.9,6.0,5.7,5.7,5.0,4.2,4.1,4.5,5.3,6.5,5.7
Bulgaria,2007,127th,60.3,5.4,3.9,4.2,4.3,6.2,5.9,5.7,5.0,4.7,5.4,4.1,5.5
Bahamas,2007,128th,60.1,5.4,5.3,5.3,3.2,7.2,5.4,6.4,4.1,3.0,6.0,3.6,5.2
Barbados,2007,129th,59.9,5.3,4.8,5.8,5.0,7.6,6.9,6.1,2.6,3.0,4.1,3.6,5.1
Panama,2007,130th,59.4,5.0,2.9,4.4,5.8,7.5,5.0,4.8,5.6,4.7,6.6,3.1,4.0
Mongolia,2007,131st,58.4,4.8,4.9,4.1,5.2,5.4,2.1,6.0,5.3,6.7,6.0,1.0,6.9
South Africa,2007,132nd,57.4,3.2,3.9,4.7,2.8,8.5,4.0,4.3,5.7,4.1,8.2,6.0,2.0
Bahrain,2007,133rd,57.0,3.4,6.0,6.0,3.5,5.0,3.7,6.8,3.7,4.7,5.3,3.6,5.3
Latvia,2007,134th,56.7,2.2,4.4,4.6,5.8,7.0,5.0,4.7,4.0,3.8,5.2,5.7,4.3
Montenegro,2007,135th,55.6,4.8,6.0,5.8,4.0,4.3,2.5,4.5,3.6,5.6,5.4,4.1,5.0
Qatar,2007,136th,53.6,2.5,4.7,5.6,4.9,4.8,3.6,7.0,2.6,4.7,5.0,3.6,4.6
United Arab Emirates,2007,137th,51.6,2.1,3.6,4.0,2.6,5.2,3.7,7.0,4.1,6.1,5.6,3.6,4.0
Hungary,2007,138th,51.2,2.1,5.5,3.0,4.1,6.3,5.0,6.0,3.8,4.0,3.7,3.6,4.1
Costa Rica,2007,139th,50.5,2.0,3.3,4.0,4.8,6.6,5.0,3.9,2.9,3.5,5.6,4.4,4.5
Estonia,2007,140th,50.5,2.1,5.9,4.5,3.7,4.9,4.0,5.0,3.8,3.7,4.8,4.8,3.3
Slovak Republic,2007,141st,49.3,2.0,4.2,4.4,4.5,6.5,5.5,4.2,4.1,3.9,4.3,1.8,3.9
Lithuania,2007,142nd,49.0,2.0,3.0,3.5,4.5,6.2,5.4,4.2,3.7,3.7,5.4,3.4,4.0
Malta,2007,143rd,48.5,4.5,1.6,3.9,3.5,4.5,4.8,4.5,3.3,3.5,3.8,6.1,4.5
Poland,2007,144th,47.6,2.0,3.0,3.2,4.3,4.8,6.5,4.2,4.2,3.5,4.9,3.0,4.0
Oman,2007,145th,45.5,5.3,7.1,3.0,3.7,2.0,1.1,6.3,4.2,6.6,3.1,1.1,2.0
Greece,2007,146th,43.5,3.1,1.6,3.5,3.5,5.0,5.4,4.0,3.1,3.9,4.7,2.0,3.7
Mauritius,2007,147th,42.7,3.5,3.0,3.5,3.8,5.9,2.1,5.1,4.4,3.9,3.6,1.1,2.8
Czech Republic,2007,148th,42.1,2.0,3.5,3.2,2.8,3.9,5.0,3.7,3.8,3.5,4.0,3.3,3.4
Argentina,2007,149th,41.4,1.9,2.7,4.0,4.6,5.2,4.0,3.4,3.8,3.7,3.8,1.5,2.8
Uruguay,2007,150th,40.9,3.0,2.3,2.0,3.5,5.1,5.9,2.9,4.0,2.5,5.1,1.1,3.5
South Korea,2007,151st,39.7,1.0,2.9,3.5,1.4,2.4,5.5,3.9,2.0,2.7,4.0,3.9,6.5
Spain,2007,152nd,39.2,4.3,5.6,5.7,3.4,5.0,1.6,1.4,1.9,2.8,3.7,1.8,2.0
Germany,2007,153rd,38.4,2.5,1.8,4.9,3.0,5.5,3.0,2.3,1.7,2.9,3.9,4.8,2.1
Slovenia,2007,154th,37.5,3.0,1.1,3.4,3.2,5.4,3.5,3.2,3.5,3.5,4.0,1.7,2.0
Italy,2007,155th,37.1,2.5,3.2,3.5,3.8,4.5,3.0,3.7,2.0,1.8,3.6,3.5,2.0
France,2007,156th,34.1,1.0,1.8,5.8,2.9,4.8,2.0,1.5,1.4,3.2,4.1,3.6,2.0
United Kingdom,2007,156th,34.1,3.0,2.7,4.2,1.4,4.7,2.0,2.2,1.8,2.6,3.4,4.0,2.1
Chile,2007,158th,33.8,2.0,1.5,3.5,3.8,4.0,2.1,1.6,3.7,3.7,3.8,1.1,3.0
United States,2007,159th,33.6,1.3,1.7,3.2,1.8,5.8,1.0,2.8,1.4,4.6,3.5,5.5,1.0
Singapore,2007,160th,33.0,1.0,4.0,3.0,3.4,2.5,3.0,3.6,1.5,4.0,2.9,1.1,3.0
Portugal,2007,161st,32.4,1.0,1.3,2.5,3.7,3.9,2.1,1.5,3.7,3.3,4.8,1.1,3.5
Netherlands,2007,162nd,28.6,1.0,1.0,4.8,2.0,4.0,2.5,1.3,1.4,1.4,3.2,4.0,2.0
Japan,2007,163rd,28.5,1.0,1.3,3.8,2.6,2.5,2.0,1.8,1.2,3.5,4.1,1.1,3.6
Luxembourg,2007,164th,28.1,2.0,3.0,3.7,2.0,2.5,1.2,3.3,2.6,1.6,2.1,1.8,2.3
Austria,2007,165th,26.0,1.0,2.0,3.5,1.9,5.0,1.1,1.3,1.4,1.5,2.8,2.2,2.3
Belgium,2007,166th,25.5,1.6,1.5,4.0,2.1,4.0,1.1,1.5,1.4,1.5,3.2,1.6,2.0
Canada,2007,167th,25.1,1.0,1.6,2.0,1.5,5.0,2.1,1.5,1.2,2.0,3.3,2.4,1.5
Australia,2007,168th,23.2,0.9,1.5,3.0,1.8,4.4,1.1,1.0,1.4,2.5,2.9,1.6,1.1
Denmark,2007,169th,22.2,1.0,1.0,2.5,2.1,1.9,2.0,1.0,1.4,1.5,3.2,2.6,2.0
Iceland,2007,170th,21.1,1.0,0.8,1.0,3.5,2.5,3.2,1.3,1.3,2.1,1.0,0.9,2.5
New Zealand,2007,171st,20.5,1.0,1.0,2.0,3.0,4.0,2.1,1.1,1.4,1.5,1.1,1.2,1.1
Switzerland,2007,172nd,20.2,1.0,1.0,2.1,1.5,2.6,2.0,1.0,1.4,1.7,3.3,1.7,0.9
Ireland,2007,173rd,19.5,1.0,1.0,1.0,2.1,2.9,2.1,1.5,1.8,1.5,1.6,1.5,1.5
Sweden,2007,174th,19.3,0.9,1.0,1.0,1.3,2.0,2.0,1.0,1.2,1.4,3.2,2.8,1.5
Finland,2007,175th,18.5,0.9,0.7,1.0,2.2,1.9,2.1,0.9,1.2,1.5,2.5,1.6,2.0
Norway,2007,176th,17.1,1.0,1.0,1.0,2.1,2.0,1.1,1.0,1.3,1.5,2.0,1.6,1.5
