Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
Guatemala,2013,70th,80.7,7.0,6.0,7.3,6.1,8.1,7.1,6.9,6.9,6.6,7.3,6.0,5.4
Lesotho,2013,71st,79.4,5.2,7.0,4.7,8.5,6.7,6.8,6.0,8.2,5.4,8.8,4.9,7.2
Nicaragua,2013,72nd,79.2,5.6,6.8,5.9,6.8,7.9,7.8,7.5,6.8,5.4,6.6,4.8,7.3
Algeria,2013,73rd,78.7,7.4,7.3,7.8,5.8,6.2,5.1,7.4,5.9,7.7,5.8,7.0,5.2
Ecuador,2013,74th,78.6,6.7,8.2,7.2,5.6,7.4,6.8,7.2,6.9,4.9,5.8,5.7,6.2
Honduras,2013,75th,78.3,6.8,6.3,5.8,6.9,8.1,6.6,6.9,6.8,6.3,7.0,3.9,6.9
Azerbaijan,2013,76th,78.2,6.9,7.8,6.9,4.7,6.1,4.7,8.2,5.1,7.6,5.3,7.9,6.9
Indonesia,2013,76th,78.2,6.8,7.0,7.3,5.5,6.9,6.3,6.4,6.1,6.5,7.5,6.0,5.9
Benin,2013,78th,77.9,5.8,6.1,3.6,7.1,7.2,6.2,6.0,8.6,5.1,8.3,6.5,7.3
India,2013,79th,77.5,7.8,6.8,8.2,5.4,8.1,5.4,5.2,6.7,5.9,7.5,5.2,5.2
Russia,2013,80th,77.1,8.5,8.0,8.2,3.5,7.0,5.1,8.1,5.1,8.6,5.7,5.3,4.0
Belarus,2013,81st,76.7,6.3,8.3,6.8,6.2,5.7,3.9,9.0,5.2,8.3,5.7,3.6,7.6
Turkmenistan,2013,81st,76.7,7.1,7.7,6.7,5.4,6.5,4.9,9.3,6.1,8.7,5.9,3.9,4.6
Bosnia and Herzegovina,2013,83rd,76.5,6.4,8.7,7.7,5.2,6.2,5.6,6.7,4.4,6.4,4.4,6.8,8.0
Moldova,2013,83rd,76.5,7.2,7.7,6.0,6.4,5.9,6.9,6.9,5.7,6.0,5.9,5.0,6.9
Tunisia,2013,83rd,76.5,7.2,7.8,7.8,6.0,6.0,5.0,7.9,5.0,8.4,4.9,4.2,6.3
Turkey,2013,86th,75.9,7.9,7.3,9.0,5.3,6.8,3.9,5.9,5.5,5.5,5.7,7.4,5.6
Jordan,2013,87th,75.7,5.8,6.8,7.1,6.5,6.5,4.2,6.5,4.3,7.4,6.7,7.8,6.2
Maldives,2013,88th,75.4,5.8,8.0,4.9,6.5,4.4,6.2,8.3,6.7,7.6,5.4,5.3,6.4
Venezuela,2013,89th,75.3,6.5,7.3,6.4,5.4,6.9,5.8,7.6,6.5,7.7,5.4,4.8,4.9
Thailand,2013,90th,75.1,7.8,8.8,8.1,3.5,6.4,3.5,6.2,4.6,7.3,7.9,6.4,4.6
Sao Tome and Principe,2013,91st,74.6,5.8,6.3,4.8,7.9,6.3,7.9,6.6,6.4,4.3,6.6,4.3,7.3
Serbia,2013,92nd,74.4,6.5,8.0,8.0,6.5,5.9,4.7,6.3,4.7,5.5,4.7,6.6,7.0
Morocco,2013,93rd,74.3,6.3,6.6,6.5,5.3,6.9,7.0,6.7,5.9,6.6,5.8,5.9,4.9
Cape Verde,2013,94th,73.7,5.7,5.5,4.2,6.1,6.9,8.3,6.3,6.5,5.1,6.7,4.1,8.2
Dominican Republic,2013,95th,73.2,5.2,6.5,6.1,5.5,6.9,7.9,5.4,6.2,5.7,6.4,5.5,5.9
El Salvador,2013,95th,73.2,6.4,4.3,5.7,6.5,7.0,6.9,5.9,6.5,6.1,7.4,5.5,5.1
Mexico,2013,97th,73.1,7.9,5.2,6.1,5.2,7.2,5.9,6.1,6.6,6.3,6.5,4.0,6.1
Vietnam,2013,97th,73.1,5.4,6.9,5.7,6.2,5.8,5.7,7.8,5.8,7.5,5.9,4.7,5.6
Gabon,2013,99th,72.9,5.4,7.1,3.3,5.2,7.3,5.5,7.6,7.0,6.8,6.8,5.6,5.4
Micronesia,2013,99th,72.9,5.4,5.6,4.2,7.5,8.0,8.4,6.3,6.3,3.1,7.1,3.1,7.9
Cuba,2013,101st,72.8,6.3,6.9,4.8,5.2,5.9,6.3,6.5,4.7,7.5,6.6,5.3,6.7
Saudi Arabia,2013,102nd,72.7,7.2,8.0,7.4,3.6,6.4,3.1,7.8,4.0,8.9,5.5,5.2,5.6
Peru,2013,103rd,72.3,7.0,6.7,7.0,4.1,7.8,6.1,7.1,6.4,5.0,5.9,4.7,4.5
Paraguay,2013,104th,71.8,6.1,7.9,6.5,5.1,8.6,4.9,7.9,6.1,6.1,6.1,2.4,4.2
Armenia,2013,105th,71.3,5.3,7.0,5.7,5.9,5.6,6.0,6.6,4.4,6.8,4.9,7.0,6.2
Suriname,2013,106th,71.2,5.8,5.8,6.1,7.1,7.0,7.6,6.1,5.3,5.4,5.7,3.0,6.3
Guyana,2013,107th,70.8,5.8,5.1,5.9,6.6,6.8,8.5,6.2,6.0,4.4,5.8,3.8,5.9
Namibia,2013,108th,70.4,4.9,3.5,5.3,6.7,8.7,6.5,4.1,6.7,4.9,6.9,5.6,6.5
Kazakhstan,2013,109th,69.8,6.4,7.7,6.2,6.2,5.3,3.6,7.8,5.1,7.1,5.3,3.8,5.3
Ghana,2013,110th,69.1,3.8,5.0,4.9,6.1,6.5,7.3,5.1,7.6,4.7,6.7,5.5,6.0
Samoa,2013,111th,68.7,5.5,5.1,4.8,5.9,6.0,8.8,6.0,4.8,4.5,6.8,2.5,8.0
Macedonia,2013,112th,68.0,6.0,7.0,7.8,5.9,6.2,6.1,6.1,3.9,4.3,3.9,5.2,5.6
South Africa,2013,113th,67.6,5.1,5.6,5.7,5.9,8.0,4.3,5.3,6.3,4.2,7.8,6.5,2.9
Belize,2013,114th,67.2,5.5,4.3,4.4,5.5,6.6,7.1,6.0,6.0,4.1,6.5,4.9,6.3
Cyprus,2013,115th,67.0,5.0,7.9,7.3,5.8,7.0,4.8,5.5,3.0,3.3,4.0,4.4,9.0
Malaysia,2013,116th,66.1,6.0,6.8,6.1,4.1,5.9,4.8,6.2,4.5,7.1,5.6,4.6,4.4
Ukraine,2013,117th,65.9,4.4,8.0,5.9,5.4,5.3,5.7,7.8,3.6,5.7,4.7,3.2,6.2
Jamaica,2013,118th,65.6,6.3,3.7,4.0,6.6,5.9,7.2,6.1,5.7,5.0,5.6,3.4,6.3
Albania,2013,119th,65.2,5.5,6.3,4.8,5.3,4.8,6.6,7.0,4.8,6.0,4.7,3.1,6.3
Grenada,2013,120th,64.6,5.3,5.6,3.9,5.8,5.9,8.5,6.2,3.6,3.7,5.2,3.2,7.7
Botswana,2013,121st,64.0,3.5,3.3,4.8,6.1,7.5,5.0,4.4,6.0,4.4,8.3,5.8,4.8
Seychelles,2013,121st,64.0,6.4,5.7,4.8,5.2,6.6,4.9,6.3,3.5,5.2,5.2,3.3,6.9
Brunei Darussalam,2013,123rd,63.2,5.6,7.4,6.2,2.8,7.8,4.6,7.4,2.6,6.9,4.5,3.3,4.1
Bahrain,2013,124th,62.9,6.1,7.1,7.3,3.2,5.7,3.3,7.6,2.4,7.5,4.6,2.5,5.6
Trinidad and Tobago,2013,125th,62.6,5.7,5.6,4.4,4.6,6.1,7.8,5.6,5.2,5.2,5.3,3.0,4.2
Brazil,2013,126th,62.1,5.9,4.9,5.9,3.3,8.3,3.9,5.3,5.4,5.3,7.0,3.6,3.3
Kuwait,2013,127th,59.6,4.4,7.9,4.6,3.4,5.3,3.7,7.6,2.6,6.8,5.1,3.8,4.4
Antigua and Barbuda,2013,128th,58.0,4.9,3.7,4.1,4.5,5.6,7.6,5.8,4.0,4.4,4.6,3.0,5.8
Mongolia,2013,129th,57.8,4.4,5.5,3.7,4.7,6.3,2.5,5.3,5.7,5.4,5.5,2.2,6.5
Romania,2013,130th,57.4,4.1,5.2,6.3,5.7,5.3,4.7,6.4,4.3,3.9,4.3,2.7,4.6
Panama,2013,131st,55.8,5.1,2.5,5.0,3.8,7.9,4.5,4.7,5.0,4.4,5.9,3.7,3.3
Bulgaria,2013,132nd,55.0,4.7,5.3,4.6,5.0,5.1,4.9,4.8,4.4,3.7,4.4,3.1,5.0
Bahamas,2013,133rd,54.7,4.3,4.5,4.4,4.5,5.6,5.6,4.9,4.4,2.8,6.6,2.8,4.3
Montenegro,2013,134th,54.4,4.6,6.2,6.5,4.6,3.5,3.0,4.2,3.6,4.4,3.9,4.5,5.3
Croatia,2013,135th,54.1,4.8,4.4,5.3,5.1,4.4,4.4,3.9,2.9,4.7,3.7,5.5,5.0
Oman,2013,136th,52.0,5.3,6.6,2.7,4.5,3.6,1.8,6.1,4.4,7.5,5.0,2.0,2.4
Barbados,2013,137th,50.8,4.2,4.2,4.4,5.8,5.7,6.2,3.6,2.7,2.5,3.8,2.7,5.0
Greece,2013,138th,50.6,3.9,3.0,4.8,6.4,4.3,4.4,5.4,3.9,3.0,4.3,2.0,5.1
Costa Rica,2013,139th,48.7,2.5,3.8,4.1,4.3,6.1,3.5,3.5,4.6,2.4,4.9,4.1,4.9
Latvia,2013,140th,47.9,3.3,4.3,5.4,4.0,4.9,4.2,4.5,3.4,3.2,3.6,3.3,3.8
Hungary,2013,141st,47.6,2.3,4.8,4.1,6.0,4.9,3.9,5.9,3.1,3.4,2.5,2.9,3.8
United Arab Emirates,2013,142nd,47.3,2.9,3.6,4.3,3.5,4.8,2.4,6.5,2.9,6.4,3.9,2.5,3.5
Qatar,2013,143rd,47.1,2.5,5.0,4.9,2.9,4.8,3.1,5.9,2.0,5.6,4.3,2.1,4.0
Argentina,2013,144th,46.1,3.0,2.7,5.0,4.0,6.0,3.0,4.4,3.9,4.1,4.1,2.0,3.8
Estonia,2013,145th,45.3,2.9,5.5,5.9,3.5,4.3,3.9,3.8,3.0,2.4,3.5,3.3,3.3
Slovak Republic,2013,145th,45.3,2.3,3.7,5.0,5.2,4.6,4.5,4.3,3.5,3.0,3.2,2.0,3.9
Italy,2013,147th,44.6,5.0,4.8,4.7,4.8,3.6,2.6,4.7,2.4,2.9,3.8,3.3,2.0
Mauritius,2013,148th,44.5,3.3,3.2,3.5,4.1,4.8,3.6,4.1,3.8,3.5,3.8,2.2,4.6
Spain,2013,149th,44.4,4.1,6.0,5.8,5.5,4.1,3.0,3.3,3.3,2.2,2.8,2.3,2.0
Lithuania,2013,150th,43.0,2.5,3.0,3.7,4.5,5.2,4.1,3.8,3.4,2.9,3.8,2.9,3.2
Malta,2013,151st,42.4,3.7,2.0,4.0,3.6,3.5,4.1,4.1,2.3,3.3,2.8,5.2,3.8
Chile,2013,152nd,42.3,2.9,1.4,3.5,4.1,5.5,2.8,3.8,4.3,3.5,4.9,2.4,3.2
Poland,2013,153rd,40.9,2.5,3.6,3.8,3.5,3.9,5.0,3.4,2.8,2.9,3.5,2.8,3.3
Czech Republic,2013,154th,39.9,2.1,4.2,3.8,4.5,3.8,3.4,4.1,3.7,2.4,2.5,2.2,3.2
Uruguay,2013,155th,38.4,3.7,2.7,2.8,3.6,4.4,4.7,1.7,3.4,2.3,3.8,1.9,3.5
Japan,2013,156th,36.1,1.7,2.6,3.8,3.7,1.8,2.0,2.2,2.5,3.0,5.4,3.7,3.7
South Korea,2013,157th,35.4,2.1,3.6,3.1,2.0,2.9,3.9,2.9,1.9,2.6,3.0,2.0,5.4
Singapore,2013,158th,34.0,1.5,4.0,2.7,3.0,3.7,3.3,3.2,1.9,4.9,2.5,1.1,2.2
United States,2013,159th,33.5,2.2,3.9,4.2,3.2,4.8,1.0,2.3,2.4,3.2,3.0,2.3,1.0
United Kingdom,2013,160th,33.2,2.7,3.5,5.0,4.1,3.6,2.1,1.6,2.3,1.8,2.5,2.7,1.3
France,2013,161st,32.6,2.3,1.9,5.9,4.0,4.3,1.9,2.2,1.5,2.4,2.7,2.2,1.4
Portugal,2013,161st,32.6,1.6,1.3,2.3,5.4,3.4,2.6,2.1,3.5,2.7,2.8,1.6,3.3
Slovenia,2013,163rd,32.3,2.5,1.6,3.3,3.6,4.5,3.2,2.8,2.1,2.5,2.5,1.4,2.3
Belgium,2013,164th,30.9,2.0,3.9,4.1,3.5,3.8,1.8,2.1,2.2,1.5,2.5,1.6,2.0
Germany,2013,165th,29.7,2.2,2.0,4.3,2.6,3.9,2.2,1.4,1.8,1.9,2.4,3.6,1.4
Austria,2013,166th,26.9,1.1,2.7,4.3,1.9,4.0,1.6,1.5,1.5,2.0,2.3,2.4,1.6
Netherlands,2013,166th,26.9,1.8,2.6,4.1,3.5,2.3,2.2,1.0,1.5,1.0,3.0,2.4,1.5
Canada,2013,168th,26.0,1.8,2.5,3.1,1.8,3.5,2.1,1.5,2.0,2.0,2.6,2.1,1.0
Australia,2013,169th,25.4,1.7,1.6,3.6,2.1,3.3,1.1,1.0,1.8,2.2,3.3,2.7,1.0
Ireland,2013,170th,24.8,1.8,1.3,1.6,3.9,2.5,2.8,1.9,1.9,1.3,2.2,1.4,2.2
Iceland,2013,171st,24.7,1.0,1.8,1.0,3.7,1.7,2.8,1.4,1.6,1.3,1.6,1.6,5.2
Luxembourg,2013,172nd,23.3,2.3,3.4,2.8,1.5,1.5,2.1,1.9,1.3,1.0,1.7,1.8,2.0
New Zealand,2013,173rd,22.7,1.1,1.1,3.5,3.6,3.4,2.4,0.5,1.8,1.2,2.1,1.1,1.0
Denmark,2013,174th,21.9,1.5,1.4,3.4,1.9,1.6,1.9,1.0,1.4,1.7,2.5,1.6,2.0
Norway,2013,175th,21.5,2.7,1.1,3.6,1.9,1.5,1.6,0.5,1.4,1.9,2.0,1.9,1.3
Switzerland,2013,175th,21.5,1.4,1.0,3.5,2.3,2.3,2.1,0.8,1.4,1.7,2.1,1.5,1.4
Sweden,2013,177th,19.7,2.2,1.8,1.0,1.7,1.7,1.7,0.5,1.9,1.3,2.5,2.4,1.0
Finland,2013,178th,18.0,1.0,1.1,1.4,3.2,1.0,2.3,1.0,1.5,1.1,1.9,1.6,1.0
