Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Change from Previous Year
Panama,2020,140th,46.0,5.5,2.2,5.6,2.7,6.3,4.3,2.9,4.4,3.5,3.8,2.5,2.3,-1.0
Qatar,2020,141st,43.7,1.7,5.0,3.7,1.2,4.6,1.8,6.4,1.4,6.1,2.9,1.7,7.3,-1.8
Chile,2020,142nd,42.5,4.1,2.2,3.1,3.6,5.4,3.5,5.7,3.5,3.9,4.4,1.9,1.2,3.6
Italy,2020,143rd,42.4,5.4,4.9,4.6,4.9,2.0,2.3,3.1,2.7,1.1,3.2,5.0,3.1,-1.4
Latvia,2020,144th,42.3,2.9,4.3,8.6,3.2,3.2,5.4,2.5,2.4,2.7,2.0,2.1,3.0,-1.6
Poland,2020,145th,41.0,2.7,4.2,5.9,3.5,2.1,4.6,4.2,2.0,3.9,2.1,2.7,3.1,-1.9
Spain,2020,146th,40.4,3.7,6.9,6.4,4.3,2.6,1.1,7.2,1.9,0.9,1.5,1.9,2.0,-0.2
Costa Rica,2020,147th,40.2,3.8,3.8,3.3,4.6,4.4,3.8,1.5,3.2,1.2,2.5,3.4,4.6,-1.8
Estonia,2020,148th,38.5,2.6,5.9,7.7,2.8,2.3,4.6,1.8,2.0,1.4,1.9,2.2,3.4,-2.2
United States,2020,149th,38.3,3.8,6.8,6.2,1.8,3.4,1.8,2.9,1.2,3.9,3.0,2.1,1.3,0.3
United Kingdom,2020,149th,38.3,3.8,5.8,6.4,4.4,3.7,2.5,2.9,1.6,1.8,1.6,1.7,2.0,1.7
Slovak Republic,2020,151st,38.2,1.5,5.0,6.0,3.7,2.6,4.0,4.1,2.1,2.4,1.4,2.9,2.4,-2.2
United Arab Emirates,2020,152nd,38.1,2.8,3.6,2.5,1.9,2.8,2.2,6.5,1.4,7.3,3.1,1.9,2.1,-2.0
Mauritius,2020,153rd,37.2,1.5,3.2,4.1,4.2,2.6,4.3,2.1,2.7,3.8,2.9,2.0,3.8,-1.7
Lithuania,2020,154th,36.5,3.1,3.0,3.6,3.6,3.9,4.9,1.8,2.7,2.4,1.9,1.9,3.7,-1.6
Czech Republic,2020,155th,35.7,2.9,5.3,4.9,3.7,1.8,3.3,4.4,1.7,2.1,0.9,2.9,1.8,-1.9
Malta,2020,156th,33.6,2.7,2.0,3.0,3.4,1.7,3.8,3.4,1.4,3.1,2.5,3.7,2.8,-1.0
Uruguay,2020,157th,33.4,4.5,2.7,2.1,3.7,3.0,3.9,0.5,2.8,2.7,2.9,2.2,2.5,-0.6
Japan,2020,158th,32.3,1.9,2.6,2.8,3.3,1.4,3.1,0.6,1.3,3.2,5.7,3.5,2.9,-2.1
South Korea,2020,159th,32.0,2.4,3.9,2.4,1.7,2.1,3.6,3.3,1.2,3.1,2.0,1.6,4.7,-1.7
France,2020,160th,30.5,3.8,1.9,6.7,3.4,3.1,2.2,1.2,1.3,1.3,1.9,2.5,1.2,-1.5
Belgium,2020,161st,27.1,2.9,4.4,4.4,3.9,1.8,2.3,1.1,1.5,0.7,1.5,2.0,0.6,-1.6
Singapore,2020,162nd,26.3,1.0,4.0,1.7,1.1,2.9,2.4,3.8,1.0,4.3,2.0,1.0,1.0,-1.8
Slovenia,2020,163rd,25.8,0.7,2.0,3.9,2.9,2.5,3.6,1.8,1.4,1.2,1.4,3.1,1.4,-2.2
Austria,2020,164th,24.1,1.9,3.2,4.2,1.3,2.0,1.6,0.8,1.3,0.6,1.9,4.7,0.6,-0.8
Portugal,2020,165th,23.5,0.7,2.5,1.6,4.0,1.7,2.5,0.8,1.9,0.9,1.8,1.9,3.2,-1.7
Germany,2020,166th,23.2,2.6,2.6,4.3,1.3,2.1,2.1,0.5,1.0,0.8,1.1,4.3,0.5,-1.5
Netherlands,2020,167th,22.9,2.4,3.4,3.9,1.8,1.3,2.5,0.7,0.8,0.9,1.6,2.9,0.7,-1.9
Ireland,2020,168th,19.9,3.0,1.5,0.7,2.5,1.3,3.1,0.5,1.4,1.8,1.7,1.1,1.3,-0.7
Australia,2020,169th,19.7,3.0,1.7,3.4,1.3,1.5,0.7,0.7,1.8,1.4,1.9,1.8,0.5,0.0
Luxembourg,2020,170th,18.8,1.0,3.4,2.4,1.5,1.1,1.6,0.5,1.4,1.2,1.3,2.8,0.5,-1.6
Canada,2020,171st,18.7,3.1,2.5,2.5,1.2,1.8,1.4,0.5,0.8,1.4,1.0,1.9,0.5,-1.4
Sweden,2020,172nd,18.2,3.0,1.8,1.4,1.5,1.2,0.8,0.5,0.9,0.6,1.3,4.6,0.6,-2.1
New Zealand,2020,173rd,17.9,1.5,1.4,2.9,2.9,1.6,2.0,0.5,0.9,0.5,1.4,1.7,0.6,-2.2
Iceland,2020,174th,17.8,1.0,1.8,0.7,2.8,1.0,2.2,0.7,0.7,0.7,1.0,1.7,3.5,-2.0
Denmark,2020,175th,17.2,1.6,1.4,4.0,1.3,0.9,1.6,0.6,0.9,1.4,1.3,1.7,0.5,-2.3
Switzerland,2020,176th,17.1,1.4,1.0,3.0,1.6,1.5,1.4,0.5,1.1,1.1,1.2,2.8,0.5,-1.6
Norway,2020,177th,16.2,1.8,1.1,3.6,1.7,0.7,1.0,0.5,1.1,0.6,0.9,2.5,0.7,-1.8
Finland,2020,178th,14.6,2.8,1.4,0.9,2.6,0.5,1.7,0.6,0.6,0.5,0.7,1.6,0.7,-2.3
